"team_id","team","team_name_short","team_name_symbol","competition_id","competition"
1025,Salernitana,U.S. Salernitana 1919,SAL,21,Serie A
1026,Reggiana,Reggiana,RGANA,105,Serie B
1027,Colón Santa Fe,Colón,COL,724,Liga Profesional Argentina
1028,Caen,Caen,CAE,104,Ligue 2
1029,Flamengo,Flamengo,FLA,363,Brazilian Serie A
1065,Como,Como,COM,105,Serie B
1071,Talleres de Córdoba,Talleres,TAL,724,Liga Profesional Argentina
1095,Newell's Old Boys,Newell's,NOB,724,Liga Profesional Argentina
1123,Cosenza,Cosenza,COS,105,Serie B
1131,San Jose Earthquakes,SJ Earthquakes,SJ,98,US Major League Soccer
1163,Ajaccio,Ajaccio,ACA,104,Ligue 2
1207,Chicago Fire FC,Chicago Fire,CHI,98,US Major League Soccer
1230,LA Galaxy,LA Galaxy,LA,98,US Major League Soccer
1243,Independiente,Independiente,IND,724,Liga Profesional Argentina
1267,Charleston Battery,Charleston Battery,CHS,807,USL Championship
1269,Luzern,Luzern,LUZ,135,Swiss Super League
1272,Grenoble,Grenoble,GRN,104,Ligue 2
1303,Santos,Santos,SAN,363,Brazilian Serie A
1313,Belgrano,Belgrano,BEL,724,Liga Profesional Argentina
1316,Al-Ittihad,Ittihad,ITH,202,Saudi Pro League
1317,Al-Hilal,Hilal,HIL,202,Saudi Pro League
1326,D.C. United,DC United,DC,98,US Major League Soccer
1339,Grêmio,Grêmio,GRE,363,Brazilian Serie A
1364,Al-Khaleej,Khaleej,KHA,202,Saudi Pro League
1373,Atlético Mineiro,Atlético MG,ATM,363,Brazilian Serie A
1391,Samsunspor,Samsunspor,SAM,115,Süper Lig
1392,Gimnasia La Plata,Gimnasia,GIM,724,Liga Profesional Argentina
1395,Nice,Nice,NIC,24,Ligue 1
1405,Palermo,Palermo,PAL,105,Serie B
1419,Botafogo,Botafogo,BOT,363,Brazilian Serie A
1423,Reims,Reims,REI,24,Ligue 1
1430,Amiens,Amiens,AMI,104,Ligue 2
1450,Getafe,Getafe CF,GTF,23,La Liga
1464,Újpest,Újpest,UJP,137,Hungarian Liga NB I
1564,Almería,UD Almería,ALM,23,La Liga
1570,Ascoli,Ascoli,ASC,105,Serie B
1578,Bahia,Bahia,BAH,363,Brazilian Serie A
1581,Portland Timbers,Portland,POR,98,US Major League Soccer
1616,CF Montréal,Montréal,MTL,98,US Major League Soccer
1708,Vancouver Whitecaps FC,Vancouver,VAN,98,US Major League Soccer
1730,Catanzaro,Catanzaro,CTZAR,105,Serie B
1734,Fluminense,Fluminense,FLU,363,Brazilian Serie A
1737,Cádiz,Cádiz CF,CAD,23,La Liga
1738,Fortuna Düsseldorf,Fortuna Düsseldorf,F95,87,"2.Bundesliga"
1740,Eintracht Braunschweig,Eintracht Braunschweig,EBS,87,"2.Bundesliga"
1743,SC Paderborn 07,SCP07,SCP,87,"2.Bundesliga"
1755,VfL Osnabrück,VfL Osnabrück,OSN,87,"2.Bundesliga"
1756,SV Darmstadt 98,Darmstadt 98,D98,22,Bundesliga
1772,FC Augsburg,FC Augsburg,FCA,22,Bundesliga
1897,Houston Dynamo FC,Houston Dynamo,HOU,98,US Major League Soccer
1899,Real Salt Lake,Real Salt Lake,RSL,98,US Major League Soccer
1902,TSG Hoffenheim,Hoffenheim,TSG,22,Bundesliga
1903,FC Dallas,Dallas,DAL,98,US Major League Soccer
1963,Young Boys,Young Boys,YB,135,Swiss Super League
1980,Portimonense,Portimonense,PTM,99,Primeira Liga
1983,Clermont,Clermont,CLM,24,Ligue 1
1996,Valenciennes,Valenciennes,VCN,104,Ligue 2
2006,Kayserispor,Kayserispor,KAY,115,Süper Lig
2016,"1. FC Magdeburg",FC Magdeburg,FCM,87,"2.Bundesliga"
2036,Spezia,Spezia,SPZ,105,Serie B
2037,Frosinone,Frosinone Calcio,FRI,21,Serie A
2038,Heracles Almelo,Heracles,HER,9,Eredivisie
2059,Atromitos Athens,Atromitos,ATR,113,Greek Super League
2077,Toronto FC,Toronto,TOR,98,US Major League Soccer
2111,SV Wehen Wiesbaden,SVWW,WIE,87,"2.Bundesliga"
2128,Angers,Angers,ANR,104,Ligue 2
2132,Zalaegerszeg,ZTE,ZTE,137,Hungarian Liga NB I
2133,Istanbul Basaksehir,Basaksehir,IBB,115,Süper Lig
2136,Caykur Rizespor,Caykur Rizespor,RIZ,115,Süper Lig
2137,Sivasspor,Sivas,SIV,115,Süper Lig
2141,Konyaspor,Konya,KON,115,Süper Lig
2143,Kasimpasa,Kasimpasa,KAS,115,Süper Lig
2170,Pisa,Pisa,PSA,105,Serie B
2173,Cittadella,A.S. Cittadella,CIT,105,Serie B
2174,Cremonese,U.S. Cremonese,CRE,105,Serie B
2176,Lecco,Lecco,LCO,105,Serie B
2182,Sassuolo,Sassuolo,SASS,21,Serie A
2203,Südtirol,Südtirol,SDTRL,105,Serie B
2271,Diósgyör,DVTK,DVT,137,Hungarian Liga NB I
2273,Estoril Praia,Estoril,EST,99,Primeira Liga
2298,Laval,Laval,LAV,104,Ligue 2
2308,Vasco da Gama,Vasco,VAS,363,Brazilian Serie A
2338,Paris FC,Paris,PFC,104,Ligue 2
2411,MTK,MTK,MTK,137,Hungarian Liga NB I
2451,Banfield,Banfield,BAN,724,Liga Profesional Argentina
2473,Lanús,Lanús,LAN,724,Liga Profesional Argentina
2477,Coritiba,Coritiba,CBA,363,Brazilian Serie A
2541,Quevilly Rouen,QRM,QLY,104,Ligue 2
2549,San Lorenzo,San Lorenzo,SLO,724,Liga Profesional Argentina
2572,Athletico Paranaense,Atlético PR,ATP,363,Brazilian Serie A
2577,Arsenal de Sarandí,Arsenal,ARS,724,Liga Profesional Argentina
2578,Huracán,Huracán,HUR,724,Liga Profesional Argentina
2580,Tigre,Tigre,TIG,724,Liga Profesional Argentina
2584,Cercle Brugge,Cercle Brugge,CER,112,Jupiler Pro League
2587,KV Kortrijk,Kortrijk,KVK,112,Jupiler Pro League
2599,Asteras Tripolis,Asteras,ASI,113,Greek Super League
2613,Panserraikos,Panserraikos,None,113,Greek Super League
2714,Fehérvár,Fehérvár,FEH,137,Hungarian Liga NB I
2718,Paks,Paks,PAK,137,Hungarian Liga NB I
2721,Kecskemét,Kecskemét,KTE,137,Hungarian Liga NB I
2834,Godoy Cruz,Godoy Cruz,GOD,724,Liga Profesional Argentina
2847,Rio Ave,Rio Ave,RIA,99,Primeira Liga
2881,Holstein Kiel,Holstein Kiel,KIE,87,"2.Bundesliga"
2891,"1. FC Heidenheim 1846","1. FC Heidenheim 1846",FCH,22,Bundesliga
2893,Girona,Girona FC,GIR,23,La Liga
2894,Huesca,SD Huesca,HUE,102,Segunda division
3005,Chaves,Chaves,GDC,99,Primeira Liga
3070,Gaziantep FK,Gaziantep FK,GAZ,115,Süper Lig
3086,Vizela,Vizela,VIZ,99,Primeira Liga
3102,Istanbulspor,Istanbulspor,IST,115,Süper Lig
3133,PAS Giannina,Giannina,PAS,113,Greek Super League
3217,SC Farense,SC Farense,FAR,99,Primeira Liga
3235,Union Saint-Gilloise,Union SG,USG,112,Jupiler Pro League
3272,Concarneau,Concarneau,USC,104,Ligue 2
3288,Dunkerque,Dunkerque,DKE,104,Ligue 2
3308,Rodez,Rodez,ROD,104,Ligue 2
3324,Alanyaspor,Alanya,ALN,115,Süper Lig
3500,Seattle Sounders FC,Seattle Sounders,SEA,98,US Major League Soccer
3536,Moreirense,Moreirense,MOR,99,Primeira Liga
3554,FC Cartagena,Cartagena,CAR,102,Segunda division
3573,FC Winterthur,FC Winterthur,WTR,135,Swiss Super League
3576,Hatayspor,Hatayspor,HTY,115,Süper Lig
3579,Platense,Platense,PLAT,724,Liga Profesional Argentina
3638,Instituto,Instituto,INS,724,Liga Profesional Argentina
3643,América Mineiro,América MG,AMG,363,Brazilian Serie A
4071,SV 07 Elversberg,SV 07 Elversberg,ELV,87,"2.Bundesliga"
4660,Villarreal B,Villarreal B,VIL,102,Segunda division
4671,Atlético Tucumán,Atl. Tucumán,ATU,724,Liga Profesional Argentina
4702,Feralpisalò,FeralpiSalò,FESALO,105,Serie B
4990,Panetolikos,Panaitolikos,PNTLK,113,Greek Super League
5088,Oud-Heverlee Leuven,Oud-Heverlee Leuven,OHL,112,Jupiler Pro League
5191,Casa Pia AC,Casa Pia AC,PIA,99,Primeira Liga
5194,Yverdon Sport,Yverdon,YS,135,Swiss Super League
5233,Alcorcón,AD Alcorcón,ADA,102,Segunda division
5239,Mezokovesd,Mezokovesd,MEZ,137,Hungarian Liga NB I
